19.11.2018,"""Роснефть"" возобновила торги бензином на рынке"
16.11.2018,Рынок акций Московской биржи по состоянию на 18:45 мск 16 ноября движется разнонаправленно
16.11.2018,ПРЯМАЯ РЕЧЬ-Интервью предправления ФК Открытия Михаила Задорнова
15.11.2018,Рынок акций Московской биржи по состоянию на 18:45 мск 15 ноября растет
15.11.2018,"""Роснефть"" приостановила продажу бензина через биржу"
14.11.2018,Рынок акций Московской биржи по состоянию на 18:45 мск 14 ноября растет
14.11.2018,"Индекс МосБиржи вырос на 0,15%, индекс РТС - на 1,6%"
13.11.2018,"""ЛУКОЙЛ"" снизил добычу нефти за 9 месяцев на 0,5%"
13.11.2018,"Лукойл снизил добычу нефти на 0,8% за 9 мес 18/17гг"
13.11.2018,Клепач не исключил падение нефти до $60 за баррель
13.11.2018,"Рынок акций РФ закрылся падением, Индекс МосБиржи снизился на 0,79%"
13.11.2018,Россия установила рекорд по добыче нефти
13.11.2018,"""Аэрофлот"": выпадающие доходы от удорожания топлива и девальвации рубля оцениваются в 2018 г. в 55 млрд руб."
13.11.2018,"Индекс МосБиржи снизился на 0,8%, индекс РТС - на 1,3%"
13.11.2018,Отскок под медведя
12.11.2018,Лукойл пока не планирует снижать нефтедобычу в 2019 году
12.11.2018,"""ЛУКОЙЛ"" не собирается снижать добычу нефти в следующем году"
12.11.2018,"""ЛУКОЙЛ"" рассчитывает на запуск ранней нефти по блоку 10 в Ираке через 2,5-3 года"
12.11.2018,"Козак: рынок нефтепродуктов в РФ стабилизировался, цены заморожены до апреля"
12.11.2018,Нефтяники подписали соглашение о заморозке цен на бензин
