16.11.2018,"Рынок акций РФ закрылся падением, Индекс МосБиржи снизился на 0,37%"
13.11.2018,Российский рынок акций открылся в минусе
09.11.2018,Индекс МосБиржи упал ниже 2400 пунктов
13.02.2015,"Роструд возьмется за ""Магнит"""
04.11.2018,ММК вернётся к вопросу о запуске сталелитейных мощностей в Турции в середине 2019 года
27.01.2015,"Чистая прибыль ""Магнита"" по МСФО в 2014 году выросла на треть"
27.01.2015,"В Челябинской области рекордсменами роста цен стали огурцы - плюс 478,58%"
02.11.2018,Магнит обратился в ФАС за согласованием покупки СИА Групп
26.07.2018,"Магнит рассчитывает улучшить показатели в IV кв., акции компании – в лидерах роста"
31.10.2018,"Ввод в эксплуатацию ""Верхне-Мунского"" месторождения укрепит позиции ""АЛРОСА"" на мировом рынке - Путин"
31.10.2018,Газпромбанк разместил выпуск структурных облигаций на 700 млн рублей
19.09.2016,«Лукойл» возглавил рейтинг крупнейших частных компаний России
29.07.2016,Рынок акций РФ: итоги недели и перспективы
21.06.2017,Включение акций КНР в индексы MSCI скорее негативно для России
31.12.2014,ИТОГИ 2014-Ритейлеры РФ готовятся к сложному году после обвала рубля
24.11.2014,"""Московская"" биржа с 1 декабря изменит порядок установления шага цены 10 наиболее ликвидных акций"
19.12.2014,Торговые сети согласились сократить сроки рассмотрения уведомлений о повышении цен
04.07.2018,"Доллар малоподвижен, в том числе и в паре с рублем, активность упала из-за выходного в США"
12.02.2016,Рынок акций РФ: итоги недели
13.02.2018,"Разворот, которого не было"
