14.11.2018,msci включить polymetal в индекс msci russia исключить русгидро 
12.11.2018,совет директор polymetal одобрить начать строительство на нежданинск 
02.11.2018,финконсалта установить ставка 4го купон облигация серия боп02 на уровень 871 
29.10.2018,российский биржа прибавить более 1 
18.10.2013,европейский фондовый индекс открыться рост после дать китай по ввп 
09.07.2014,фондовый индекс европа двигаться разнонаправленный dax вырасти на 010 
28.07.2014,европейский фондовый индекс расти в условие спокойный торг 
17.12.2014,индекс европа резко снижаться под давление энергетический сектор 
01.10.2013,европейский рынок акция показать смешанный динамик dax вырасти на 045 
04.08.2014,индекс европа расти накануне заседание ецб dax вырасти на 027 
06.02.2014,индекс европа расти перед заявление ецб и ба dax набрать 037 
02.01.2014,индекс европа повернуться в целое к снижение после публикация pmi 
10.01.2014,европейский индекс окрепнуть после дать франция комментарий драга 
13.01.2014,индекс европа подняться в ослабить торг dax окрепнуть на 023 
27.09.2013,европейский фондовый индекс открыться снижение в фокус италия и сша 
30.09.2013,фондовый индекс европа резко упасть на опасение по повод сша и италия 
08.10.2013,индекс европа показать снижение после дать германия 
09.10.2013,индекс европа опускаться изз сохраняться бюджетный тупик в сша 
10.10.2013,европейский фондовый индекс вырасти после выдвижение йеллена 
10.10.2013,индекс европа продолжать рост на американский оптимизм 
