19.11.2018,за недел€ цена на дизтопливо вырасти на столичный азс роснефть лукойл и газпром нефть на 2 рубль 
19.11.2018,роснефть возобновить торг бензин на рынок 
20.11.2018,российский рынок встретить день в плохой настроение 
16.11.2018,рынок акци€ московский биржа по состо€ние на 1845 мск 16 но€брь двигатьс€ разнонаправленный 
16.11.2018,пр€ма€ речьинтервью предправление фк открытие михаил задорнов 
15.11.2018,рынок акци€ московский биржа по состо€ние на 1845 мск 15 но€брь расти 
15.11.2018,роснефть приостановить продажа бензин через биржа 
14.11.2018,рынок акци€ московский биржа по состо€ние на 1845 мск 14 но€брь расти 
14.11.2018,индекс мосбиржа вырасти на 015 индекс ртс на 16 
13.11.2018,лукойл снизить добыча нефть за 9 мес€ц на 05 
13.11.2018,лукойл снизить добыча нефть на 08 за 9 мес 1817гга 
13.11.2018,клепач не исключить падение нефть до 60 за баррель 
13.11.2018,рынок акци€ рф закрытьс€ падение индекс мосбиржа снизитьс€ на 079 
13.11.2018,росси€ установить рекорд по добыча нефть 
13.11.2018,аэрофлот выпадать доход от удорожание топливо и девальваци€ рубль оцениватьс€ в 2018 год в 55 миллиард рубль 
13.11.2018,индекс мосбиржа снизитьс€ на 08 индекс ртс на 13 
13.11.2018,отскок под медведь 
12.11.2018,лукойл пока не планировать снижать нефтедобыча в 2019 год 
12.11.2018,лукойл не собиратьс€ снижать добыча нефть в следующий год 
12.11.2018,лукойл рассчитывать на запуск ранний нефть по блок 10 в ирак через 253 год 
