09.11.2018,рынок акци€ рф закрытьс€ падение индекс мосбиржа снизитьс€ на 144 
06.11.2018,рынок акци€ рф закрытьс€ рост индекс мосбиржа прибавить 144 
04.11.2018,ммк вернутьс€ к вопрос о запуск сталелитейный мощность в турци€ в середина 2019 год 
01.11.2018,рынок акци€ рф закрытьс€ рост индекс мосбиржа прибавить 028 
03.12.2014,торг акци€ рф открытьс€ в лЄгкое плюс 
31.12.2014,итог 2014сталевар снг снизить цена вслед за рубль и гривна 
28.01.2015,металлоинвест увеличить выпуск руда на 1 в 2014 год 
21.01.2015,индекс рф подн€тьс€ в начало торг 
14.03.2018,российский индекс падать инвестор переоценивать риска 
30.09.2016,рынок акци€ рф итог недел€ и перспектива 
17.02.2017,рубль развернутьс€ вниз в рамка коррекци€ 
15.04.2016,рынок акци€ рф итог недел€ 
27.05.2016,рынок акци€ рф итог недел€ 
18.11.2014,индекс рф начать торг с разнонаправленный но скромный движение 
15.07.2016,рынок акци€ рф итог недел€ 
22.02.2018,рубль и индекс рф малоподвижный внешний фон способствовать фиксаци€ прибыть 
26.11.2014,рынок акци€ московский биржа по состо€ние на 1845 мск 26 но€брь двигатьс€ разнонаправленный 
05.11.2014,рынок акци€ московский биржа по состо€ние на 1300 мск 5 но€брь снижатьс€ 
28.10.2014,рынок акци€ московский биржа по состо€ние на 1005 мск 28 окт€брь двигатьс€ разнонаправленный 
28.10.2014,рынок акци€ московский биржа по состо€ние на 1300 мск 28 окт€брь расти 
