15.12.2014,fitch подтвердить рейтинг распадский с стабильный прогноз 
14.10.2016,рынок акция рф итог неделя и перспектива 
23.09.2016,рынок акция рф итог неделя и перспектива 
24.12.2014,moodys поставить рейтинг крупный компания рф на пересмотр с возможность снижение 
05.08.2016,рынок акция рф итог неделя и перспектива 
18.11.2016,рынок акция рф итог неделя и перспектива 
12.08.2016,рынок акция рф прогноз и рекомендация эксперт 
17.10.2018,российский индекс просесть на падение цена на нефть и новость о трагедия в керчь 
16.04.2015,угольный распадский снизить добыча и продажа в i квартал 
24.03.2016,распадский получить 126 миллион чистый убыток в 2015 год 
12.04.2012,moodys повысить прогноз рейтинг компания распадский 
03.10.2013,fitch подтвердить рейтинг оао распадский на уровень b прогноз стабильный 
16.07.2015,распадский сократить добыча уголь на 19 в 2 квартал 
04.09.2015,распадский снизить убыток в 77 раз в 1 полугодие 
21.08.2014,распадский надеяться увеличить добыча в 2015 год на 15 
17.01.2014,распадский увеличить добыча в 2013 год на 12 
27.03.2015,распадский увеличить убыток в 2014 год в 24 раз 
25.08.2017,распадский в 1м полугодие увеличить ebitda в 4 раз 
15.10.2015,распадский увеличить добыча уголь на 20 в третье квартал 
24.03.2017,угледобывающий распадский вернуться к прибыть в 2016 год 
